Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,170,90,-10.42,-3.07,-7.35,-3.82,4.15,4,5,-6.8,5.33,1.24,-1.6,-0.14,38,36,6,12
FINNIFTY,180,100,-8.97,-3.55,-5.42,-3.52,4.11,4,5,-6.11,5.72,1.22,-1.62,-0.12,39,35,6,12
FINNIFTY,180,110,-3.51,-0.53,-2.98,-3.52,4.11,4,7,-4.71,5.9,1.16,-1.54,-0.05,41,33,7,11
FINNIFTY,180,120,-3.6,-1.4,-2.2,-3.56,4.0,4,7,-4.91,6.01,1.12,-1.43,-0.05,40,34,8,10
FINNIFTY,180,130,-5.81,-2.53,-3.28,-3.59,3.75,4,7,-5.1,6.04,1.17,-1.33,-0.08,37,37,7,11
FINNIFTY,180,140,-3.79,-0.37,-3.42,-3.59,3.65,4,7,-5.22,5.65,1.12,-1.28,-0.05,38,36,10,8
FINNIFTY,180,150,-5.33,-1.74,-3.59,-3.64,3.63,4,7,-5.41,5.75,1.08,-1.36,-0.07,39,35,10,8
FINNIFTY,180,160,-0.72,-0.33,-0.39,-3.64,3.44,4,7,-4.95,5.86,1.12,-1.41,-0.01,41,33,10,8
FINNIFTY,180,170,-3.27,-2.29,-0.98,-3.74,3.34,4,7,-5.27,5.76,1.16,-1.38,-0.04,39,35,8,10
FINNIFTY,180,180,-2.36,-2.39,0.03,-3.73,3.24,5,6,-5.5,5.71,1.2,-1.4,-0.03,39,35,9,9
FINNIFTY,180,190,1.75,1.65,0.11,-3.73,3.24,5,6,-5.57,5.71,1.24,-1.41,0.02,40,34,9,9
FINNIFTY,180,200,2.6,3.28,-0.68,-3.71,3.23,5,8,-5.23,6.76,1.23,-1.44,0.04,41,33,10,8
